0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:21 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:21 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:21 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:21 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:21 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:21 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:21 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:21 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:21 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:21 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:21 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:21 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:21 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:22 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:22 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:22 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:22 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:22 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:22 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:22 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:23 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:23 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:23 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:23 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:23 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:49:23 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:50:09 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:50:09 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:50:10 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:50:10 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:50:13 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:50:13 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:50:14 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:50:14 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:50:58 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:50:58 -0800] "GET /MVCFairCharge/css/bootstrap.min.css HTTP/1.1" 200 160403
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:50:59 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:50:59 -0800] "GET /MVCFairCharge/css/bootstrap.min.css HTTP/1.1" 200 160403
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:51:03 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:51:03 -0800] "GET /MVCFairCharge/css/bootstrap.min.css HTTP/1.1" 200 160403
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:51:04 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:51:04 -0800] "GET /MVCFairCharge/css/bootstrap.min.css HTTP/1.1" 200 160403
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:51:04 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:51:04 -0800] "GET /MVCFairCharge/css/bootstrap.min.css HTTP/1.1" 200 160403
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:51:04 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:51:04 -0800] "GET /MVCFairCharge/css/bootstrap.min.css HTTP/1.1" 200 160403
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:52:00 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:52:06 -0800] "GET /MVCFairCharge/ HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:52:06 -0800] "GET /MVCFairCharge/css/bootstrap.min.css HTTP/1.1" 200 160403
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:52:06 -0800] "GET /MVCFairCharge/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:52:06 -0800] "GET /MVCFairCharge/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:22:13:28 -0800] "GET /MVCFairCharge/ HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [23/Jul/2020:22:13:28 -0800] "GET /MVCFairCharge/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:22:17:20 -0800] "GET /MVCFairCharge/ HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [23/Jul/2020:22:17:20 -0800] "GET /MVCFairCharge/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:22:19:04 -0800] "GET /MVCFairCharge/ HTTP/1.1" 200 2550
0:0:0:0:0:0:0:1 - - [23/Jul/2020:22:19:04 -0800] "GET /MVCFairCharge/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:22:29:42 -0800] "GET /MVCFairCharge/ HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [23/Jul/2020:22:29:42 -0800] "GET /MVCFairCharge/image/auto.jpg HTTP/1.1" 200 7720
0:0:0:0:0:0:0:1 - - [23/Jul/2020:22:29:42 -0800] "GET /MVCFairCharge/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:22:29:42 -0800] "GET /MVCFairCharge/image/prime.jpg HTTP/1.1" 200 7195
0:0:0:0:0:0:0:1 - - [23/Jul/2020:22:29:42 -0800] "GET /MVCFairCharge/image/min.jpg HTTP/1.1" 200 6115
